Time,Source,URI,"Found on URI","Found on level",Tags,Message
"2022-02-17 10:24:57.180500","Contao\CoreBundle\Crawl\Escargot\Subscriber\SearchIndexSubscriber",https://4ae-racing-team.ch/verletzungen,https://4ae-racing-team.ch/sitemap.xml,3,,"Forwarded to the search indexer. Was indexed successfully."
"2022-02-17 10:24:57.541565","Contao\CoreBundle\Crawl\Escargot\Subscriber\SearchIndexSubscriber",https://4ae-racing-team.ch/login,https://4ae-racing-team.ch/sitemap.xml,3,,"Forwarded to the search indexer. Was indexed successfully."
"2022-02-17 10:24:57.582731","Contao\CoreBundle\Crawl\Escargot\Subscriber\SearchIndexSubscriber",https://4ae-racing-team.ch/suche,https://4ae-racing-team.ch/sitemap.xml,3,,"Forwarded to the search indexer. Was indexed successfully."
"2022-02-17 10:24:57.939901","Contao\CoreBundle\Crawl\Escargot\Subscriber\SearchIndexSubscriber",https://4ae-racing-team.ch/kletterschuhe-resoling,https://4ae-racing-team.ch/sitemap.xml,3,,"Forwarded to the search indexer. Was indexed successfully."
"2022-02-17 10:24:57.984189","Contao\CoreBundle\Crawl\Escargot\Subscriber\SearchIndexSubscriber",https://4ae-racing-team.ch/registrierung,https://4ae-racing-team.ch/sitemap.xml,3,,"Forwarded to the search indexer. Was indexed successfully."
"2022-02-17 10:24:58.118407","Contao\CoreBundle\Crawl\Escargot\Subscriber\SearchIndexSubscriber",https://4ae-racing-team.ch/impressum,https://4ae-racing-team.ch/sitemap.xml,3,,"Forwarded to the search indexer. Was indexed successfully."
"2022-02-17 10:25:04.774471","Contao\CoreBundle\Crawl\Escargot\Subscriber\SearchIndexSubscriber",https://4ae-racing-team.ch/translation?act=project&project=1,https://4ae-racing-team.ch/translation,4,,"Forwarded to the search indexer. Was indexed successfully."
"2022-02-17 10:25:04.822212","Contao\CoreBundle\Crawl\Escargot\Subscriber\SearchIndexSubscriber",https://4ae-racing-team.ch/translation?act=createNewProject,https://4ae-racing-team.ch/translation,4,,"Forwarded to the search indexer. Was indexed successfully."
"2022-02-17 10:25:07.064245","Contao\CoreBundle\Crawl\Escargot\Subscriber\SearchIndexSubscriber",https://4ae-racing-team.ch/newsreader/rekognoszierungstour-scheideggwetterhorn-westpfeiler,https://4ae-racing-team.ch/sitemap.xml,3,,"Forwarded to the search indexer. Was indexed successfully."
"2022-02-17 10:25:08.282718","Contao\CoreBundle\Crawl\Escargot\Subscriber\SearchIndexSubscriber",https://4ae-racing-team.ch/translation?act=resource&project=1,https://4ae-racing-team.ch/translation?act=project&project=1,5,,"Forwarded to the search indexer. Was indexed successfully."
